LibraryName,TypeNodeName,FullTransform,PartialTransform,NotTransform
frmActionOrderReception,Minus,0,0,2
frmOrderAproval,CompilationUnit,0,0,1
frmOrderAproval,UsingNamespace,0,0,5
frmOrderAproval,SimpleName,0,0,51
frmOrderAproval,DotName,0,0,11
frmOrderAproval,Namespace,0,0,1
frmOrderAproval,Class,0,0,1
frmOrderAproval,TypeBase,0,0,1
frmOrderAproval,TypeRef,0,0,34
frmOrderAproval,Field,0,0,1
frmOrderAproval,AliasTypeRef,0,0,29
frmOrderAproval,VarDeclarator,0,0,8
frmOrderAproval,VarInit,0,0,8
frmOrderAproval,Literal,0,0,70
frmOrderAproval,Constructor,0,0,1
frmOrderAproval,ParamList,0,0,20
frmOrderAproval,BaseInit,0,0,1
frmOrderAproval,ArgList,0,0,56
frmOrderAproval,Block,0,0,43
frmOrderAproval,If,0,0,16
frmOrderAproval,Eql,0,0,5
frmOrderAproval,SingleAccess,0,0,146
frmOrderAproval,ExpressionStat,0,0,65
frmOrderAproval,Assign,0,0,32
frmOrderAproval,This,0,0,5
frmOrderAproval,Else,0,0,3
frmOrderAproval,Try,0,0,1
frmOrderAproval,And,0,0,2
frmOrderAproval,NotEql,0,0,5
frmOrderAproval,ExprMemberAccess,0,0,103
frmOrderAproval,Call,0,0,54
frmOrderAproval,MemberAccess,0,0,103
frmOrderAproval,ThisMemberAccess,0,0,2
frmOrderAproval,Catch,0,0,1
frmOrderAproval,Arg,0,0,33
frmOrderAproval,Method,0,0,19
frmOrderAproval,Param,0,0,32
frmOrderAproval,DefArg,0,0,2
frmOrderAproval,LocalVarStat,0,0,6
frmOrderAproval,LocalVar,0,0,7
frmOrderAproval,Gt,0,0,1
frmOrderAproval,ExprElementAccess,0,0,3
frmOrderAproval,IndexList,0,0,3
frmOrderAproval,NewObject,0,0,1
frmOrderAproval,Negate,0,0,3
frmOrderAproval,Plus,0,0,43
frmOrderAproval,Not,0,0,7
frmOrderAproval,GenericMemberAccess,0,0,2
frmOrderAproval,TypeArgList,0,0,2
frmOrderAproval,While,0,0,1
frmOrderAproval,Minus,0,0,1
frmOrderAproval,For,0,0,1
frmOrderAproval,ForInit,0,0,1
frmOrderAproval,LtEq,0,0,1
frmOrderAproval,Inc,0,0,2
frmOrderAproval.Designer,CompilationUnit,0,0,1
frmOrderAproval.Designer,Namespace,0,0,1
frmOrderAproval.Designer,SimpleName,0,0,450
frmOrderAproval.Designer,Class,0,0,1
frmOrderAproval.Designer,Field,0,0,32
frmOrderAproval.Designer,PPRegion,0,0,2
frmOrderAproval.Designer,TypeRef,0,0,141
frmOrderAproval.Designer,VarDeclarator,0,0,34
frmOrderAproval.Designer,AliasTypeRef,0,0,8
frmOrderAproval.Designer,Property,0,0,1
frmOrderAproval.Designer,PropBody,0,0,1
frmOrderAproval.Designer,Get,0,0,1
frmOrderAproval.Designer,Block,0,0,6
frmOrderAproval.Designer,If,0,0,1
frmOrderAproval.Designer,Or,0,0,1
frmOrderAproval.Designer,Eql,0,0,1
frmOrderAproval.Designer,SingleAccess,0,0,126
frmOrderAproval.Designer,Literal,0,0,296
frmOrderAproval.Designer,ExprMemberAccess,0,0,773
frmOrderAproval.Designer,MemberAccess,0,0,1208
frmOrderAproval.Designer,ExpressionStat,0,0,396
frmOrderAproval.Designer,Assign,0,0,358
frmOrderAproval.Designer,Call,0,0,39
frmOrderAproval.Designer,ArgList,0,0,140
frmOrderAproval.Designer,Return,0,0,2
frmOrderAproval.Designer,Set,0,0,1
frmOrderAproval.Designer,PPEndRegion,0,0,2
frmOrderAproval.Designer,Method,0,0,3
frmOrderAproval.Designer,ParamList,0,0,3
frmOrderAproval.Designer,LocalVarStat,0,0,2
frmOrderAproval.Designer,LocalVar,0,0,2
frmOrderAproval.Designer,VarInit,0,0,3
frmOrderAproval.Designer,NewObject,0,0,101
frmOrderAproval.Designer,ArrayTypeRef,0,0,5
frmOrderAproval.Designer,RankSpecifier,0,0,5
frmOrderAproval.Designer,NewArrayTypeArray,0,0,4
frmOrderAproval.Designer,ArrayInitializer,0,0,4
frmOrderAproval.Designer,DotName,0,0,308
frmOrderAproval.Designer,AttrSection,0,0,1
frmOrderAproval.Designer,Attribute,0,0,1
frmOrderAproval.Designer,AttrArgList,0,0,1
frmOrderAproval.Designer,ThisMemberAccess,0,0,435
frmOrderAproval.Designer,This,0,0,435
frmOrderAproval.Designer,Arg,0,0,160
frmOrderAproval.Designer,TypeOf,0,0,1
frmOrderAproval.Designer,Nested,0,0,3
frmOrderAproval.Designer,Cast,0,0,3
frmOrderAproval.Designer,BitOr,0,0,3
frmOrderAproval.Designer,Param,0,0,1
frmCustomers,CompilationUnit,0,0,1
frmCustomers,UsingNamespace,0,0,3
frmCustomers,SimpleName,0,0,20
frmCustomers,DotName,0,0,7
frmCustomers,Namespace,0,0,1
frmCustomers,Class,0,0,1
frmCustomers,TypeBase,0,0,1
frmCustomers,TypeRef,0,0,9
frmCustomers,Field,0,0,4
frmCustomers,AliasTypeRef,0,0,14
frmCustomers,VarDeclarator,0,0,7
frmCustomers,VarInit,0,0,7
frmCustomers,Literal,0,0,41
frmCustomers,Constructor,0,0,1
frmCustomers,ParamList,0,0,7
frmCustomers,BaseInit,0,0,1
frmCustomers,ArgList,0,0,22
frmCustomers,Block,0,0,17
frmCustomers,If,0,0,6
frmCustomers,Eql,0,0,4
frmCustomers,SingleAccess,0,0,52
frmCustomers,ExpressionStat,0,0,32
frmCustomers,Assign,0,0,17
frmCustomers,This,0,0,4
frmCustomers,Else,0,0,2
frmCustomers,Try,0,0,1
frmCustomers,And,0,0,1
frmCustomers,NotEql,0,0,1
frmCustomers,ExprMemberAccess,0,0,48
frmCustomers,Call,0,0,21
frmCustomers,MemberAccess,0,0,50
frmCustomers,ThisMemberAccess,0,0,2
frmCustomers,Catch,0,0,1
frmCustomers,Arg,0,0,15
frmCustomers,Method,0,0,6
frmCustomers,Param,0,0,8
frmCustomers,ExprElementAccess,0,0,1
frmCustomers,IndexList,0,0,1
frmCustomers,LocalVarStat,0,0,3
frmCustomers,LocalVar,0,0,3
frmCustomers,Cast,0,0,1
frmCustomers,Switch,0,0,1
frmCustomers,SwitchSection,0,0,6
frmCustomers,Case,0,0,6
frmCustomers,Break,0,0,6
frmCustomers,Not,0,0,1
